yearmonth	eeacellcode	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	familykey	family	specieskey	species	occurrences	year	month
2010-12-01	100mE39412N30824	50.72778	4.61661	15.0	4689.0	Fagaceae	5333294	Castanea sativa	2	2010	12
2010-12-01	100mE39412N30824	50.72778	4.61661	15.0	5386.0	Fabaceae	5352251	Robinia pseudoacacia	2	2010	12
2010-12-01	100mE39422N30828	50.73224	4.6308	15.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	1	2010	12
2010-12-01	100mE39423N30828	50.73224	4.6308	15.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	2	2010	12
2010-12-01	100mE39423N30828	50.73224	4.6308	15.0	4689.0	Fagaceae	5333294	Castanea sativa	2	2010	12
2010-12-01	100mE39467N30890	50.79053	4.68786	15.0	4689.0	Fagaceae	2880539	Quercus rubra	2	2010	12
2010-12-01	100mE39467N30890	50.79053	4.68786	15.0	3925.0	Pinaceae	5285637	Pinus sylvestris	2	2010	12
2010-12-01	100mE39570N30270	50.24194	4.89385	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	12
2010-12-01	100mE39570N30270	50.24188	4.89366	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	12
2010-12-01	100mE39570N30270	50.2418	4.89347	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	12
2010-12-01	100mE39571N30271	50.24214	4.8946	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	12
2010-12-01	100mE39571N30271	50.24227	4.89495	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	12
2010-12-01	100mE39571N30271	50.24209	4.89442	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	12
2010-12-01	100mE39595N31487	51.33378	4.80862	10.0	2406.0	Crassulaceae	5362054	Crassula helmsii	1	2010	12
2010-12-01	100mE39702N30913	50.82598	5.01784	10.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	12
2010-12-01	100mE39831N31288	51.17042	5.16485	10.0	3925.0	Pinaceae	5285637	Pinus sylvestris	1	2010	12
2010-12-01	100mE39926N31071	50.98103	5.32149	10.0	5015.0	Rosaceae	3021496	Prunus laurocerasus	1	2010	12
2010-11-01	100mE38031N31359	51.09803	2.59321	10.0	3065.0	Asteraceae	3147168	Erigeron karvinskianus	1	2010	11
2010-11-01	100mE38048N31367	51.10719	2.6164	10.0	6710.0	Caprifoliaceae	2888740	Centranthus ruber	1	2010	11
2010-11-01	100mE38051N31367	51.10695	2.62048	10.0	3112.0	Brassicaceae	5373358	Lobularia maritima	1	2010	11
2010-11-01	100mE38474N31438	51.20717	3.21252	10.0	3065.0	Asteraceae	9206251	Helianthus annuus	1	2010	11
2010-11-01	100mE38491N31430	51.20218	3.23832	10.0	3065.0	Asteraceae	3147168	Erigeron karvinskianus	1	2010	11
2010-11-01	100mE38493N31430	51.20172	3.24049	10.0	3065.0	Asteraceae	3146683	Erigeron sumatrensis	1	2010	11
2010-11-01	100mE38493N31430	51.20172	3.24049	10.0	2420.0	Plantaginaceae	8200663	Cymbalaria muralis	1	2010	11
2010-11-01	100mE38522N31482	51.25128	3.27535	10.0	6629.0	Salviniaceae	2650107	Azolla filiculoides	1	2010	11
2010-11-01	100mE38596N31081	50.89822	3.43141	10.0	6629.0	Salviniaceae	2650107	Azolla filiculoides	1	2010	11
2010-11-01	100mE38757N30572	50.45554	3.72201	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE38787N31223	51.04017	3.68622	10.0	5386.0	Fabaceae	9182154	Vicia villosa	1	2010	11
2010-11-01	100mE38788N31223	51.04095	3.68642	10.0	5015.0	Rosaceae	3003244	Rosa multiflora	1	2010	11
2010-11-01	100mE38788N31224	51.04144	3.68672	10.0	5386.0	Fabaceae	2972595	Onobrychis viciifolia	1	2010	11
2010-11-01	100mE38789N31222	51.03993	3.68779	10.0	5386.0	Fabaceae	9151957	Medicago sativa	1	2010	11
2010-11-01	100mE38792N30457	50.35531	3.78343	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE38807N31183	51.0065	3.71832	10.0	3065.0	Asteraceae	3118430	Tanacetum parthenium	1	2010	11
2010-11-01	100mE38809N31222	51.04153	3.71706	10.0	7717.0	Solanaceae	2928755	Datura innoxia	1	2010	11
2010-11-01	100mE38812N31249	51.06549	3.71759	10.0	3065.0	Asteraceae	3119175	Helianthus tuberosus	1	2010	11
2010-11-01	100mE38839N30552	50.44354	3.83925	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE38858N30635	50.51891	3.85642	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE38917N30563	50.45963	3.94797	49.0	5015.0	Rosaceae	8170635	Spiraea japonica	1	2010	11
2010-11-01	100mE39031N30025	49.98616	4.16654	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39031N30025	49.98616	4.16654	15.0	3925.0	Pinaceae	5285637	Pinus sylvestris	1	2010	11
2010-11-01	100mE39040N30020	49.98169	4.1805	15.0	3925.0	Pinaceae	5284884	Picea abies	2	2010	11
2010-11-01	100mE39112N30044	50.00878	4.27805	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39126N30981	50.84918	4.19503	10.0	6685.0	Malvaceae	3152374	Malva sylvestris	1	2010	11
2010-11-01	100mE39135N30961	50.83198	4.20992	10.0	3065.0	Asteraceae	3119175	Helianthus tuberosus	1	2010	11
2010-11-01	100mE39136N30962	50.83277	4.21044	10.0	4691.0	Euphorbiaceae	3066965	Euphorbia lathyris	1	2010	11
2010-11-01	100mE39151N30406	50.33544	4.29411	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE39151N31231	51.07492	4.20259	10.0	2497.0	Lamiaceae	2926684	Lamium maculatum	1	2010	11
2010-11-01	100mE39152N30041	50.00881	4.33385	15.0	5015.0	Rosaceae	3031774	Mespilus germanica	1	2010	11
2010-11-01	100mE39152N30041	50.00881	4.33385	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39163N31242	51.08547	4.21787	10.0	4691.0	Euphorbiaceae	3066965	Euphorbia lathyris	1	2010	11
2010-11-01	100mE39168N31250	51.09313	4.22489	10.0	6710.0	Caprifoliaceae	5598915	Lonicera pileata	1	2010	11
2010-11-01	100mE39172N31254	51.09677	4.2302	10.0	6979.0	Araceae	5330661	Arum italicum	1	2010	11
2010-11-01	100mE39188N29988	49.96386	4.38964	15.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	1	2010	11
2010-11-01	100mE39188N29988	49.96386	4.38964	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39190N30013	49.98634	4.38965	15.0	3925.0	Pinaceae	5284884	Picea abies	3	2010	11
2010-11-01	100mE39194N30063	50.03129	4.38967	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39195N31202	51.05148	4.26863	10.0	3112.0	Brassicaceae	3053522	Berteroa incana	1	2010	11
2010-11-01	100mE39196N30088	50.05377	4.38968	15.0	3925.0	Pinaceae	5285637	Pinus sylvestris	1	2010	11
2010-11-01	100mE39197N31216	51.06414	4.26956	10.0	3065.0	Asteraceae	3109086	Senecio inaequidens	1	2010	11
2010-11-01	100mE39197N31216	51.06414	4.26956	10.0	3065.0	Asteraceae	3146791	Erigeron canadensis	1	2010	11
2010-11-01	100mE39197N31216	51.06414	4.26956	10.0	2430.0	Onagraceae	3188894	Oenothera glazioviana	1	2010	11
2010-11-01	100mE39197N31216	51.06414	4.26956	10.0	5386.0	Fabaceae	5359175	Trifolium resupinatum	1	2010	11
2010-11-01	100mE39198N29993	49.96835	4.40358	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39199N29992	49.96835	4.40358	15.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	1	2010	11
2010-11-01	100mE39200N30007	49.98184	4.40359	15.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	3	2010	11
2010-11-01	100mE39200N30007	49.98184	4.40359	15.0	3925.0	Pinaceae	5284884	Picea abies	3	2010	11
2010-11-01	100mE39207N31011	50.88188	4.30679	10.0	2499.0	Juglandaceae	3054357	Juglans nigra	1	2010	11
2010-11-01	100mE39207N31208	51.05834	4.28438	10.0	2420.0	Plantaginaceae	8200663	Cymbalaria muralis	1	2010	11
2010-11-01	100mE39230N30010	49.98631	4.44542	15.0	3925.0	Pinaceae	5284884	Picea abies	3	2010	11
2010-11-01	100mE39239N30004	49.98181	4.45936	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39242N30039	50.01327	4.45942	15.0	3925.0	Pinaceae	5284884	Picea abies	2	2010	11
2010-11-01	100mE39280N30817	50.71254	4.42996	49.0	2406.0	Crassulaceae	5362054	Crassula helmsii	1	2010	11
2010-11-01	100mE39282N30036	50.01322	4.51523	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39283N31031	50.90491	4.41168	10.0	3065.0	Asteraceae	3109086	Senecio inaequidens	1	2010	11
2010-11-01	100mE39283N31031	50.90491	4.41168	10.0	3065.0	Asteraceae	3146683	Erigeron sumatrensis	1	2010	11
2010-11-01	100mE39283N31031	50.90491	4.41168	10.0	2390.0	Scrophulariaceae	3173338	Buddleja davidii	1	2010	11
2010-11-01	100mE39283N31031	50.90451	4.4115	10.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE39291N31318	51.16249	4.3917	10.0	3065.0	Asteraceae	3145214	Silybum marianum	1	2010	11
2010-11-01	100mE39309N31359	51.20005	4.41262	10.0	2499.0	Juglandaceae	8288647	Pterocarya fraxinifolia	1	2010	11
2010-11-01	100mE39311N31356	51.19751	4.41675	10.0	3065.0	Asteraceae	3139003	Melampodium montanum	1	2010	11
2010-11-01	100mE39313N30054	50.03114	4.55715	15.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39319N31375	51.21547	4.42543	10.0	6979.0	Araceae	2867614	Lemna minuta	1	2010	11
2010-11-01	100mE39326N30083	50.05808	4.57123	15.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	11
2010-11-01	100mE39326N30083	50.05808	4.57123	15.0	3925.0	Pinaceae	5285637	Pinus sylvestris	1	2010	11
2010-11-01	100mE39345N31162	51.02642	4.48642	10.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE39353N31121	50.98993	4.5013	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	11
2010-11-01	100mE39353N31121	50.99007	4.50171	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	11
2010-11-01	100mE39353N31121	50.98995	4.5014	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	11
2010-11-01	100mE39363N31131	51.00009	4.51542	25.0	2406.0	Crassulaceae	7334368	Umbilicus rupestris	1	2010	11
2010-11-01	100mE39366N30080	50.05797	4.62709	15.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	1	2010	11
2010-11-01	100mE39423N31511	51.34459	4.55991	10.0	5015.0	Rosaceae	5365305	Potentilla norvegica	1	2010	11
2010-11-01	100mE39439N31298	51.15482	4.60568	10.0	5015.0	Rosaceae	3027159	Spiraea douglasii	1	2010	11
2010-11-01	100mE39450N31384	51.2322	4.61128	10.0	2416.0	Polygonaceae	2889173	Reynoutria japonica	1	2010	11
2010-11-01	100mE39452N30833	50.73852	4.67192	49.0	3065.0	Asteraceae	3109086	Senecio inaequidens	1	2010	11
2010-11-01	100mE39455N30831	50.73752	4.67701	49.0	4688.0	Betulaceae	9148577	Alnus incana	1	2010	11
2010-11-01	100mE39456N30831	50.73752	4.67701	49.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	11
2010-11-01	100mE39456N30831	50.73752	4.67701	49.0	5015.0	Rosaceae	3021850	Prunus serotina	1	2010	11
2010-11-01	100mE39456N30831	50.73752	4.67701	49.0	5386.0	Fabaceae	5352251	Robinia pseudoacacia	1	2010	11
2010-11-01	100mE39456N30832	50.73752	4.67701	49.0	2499.0	Juglandaceae	3054368	Juglans regia	1	2010	11
2010-11-01	100mE39456N30832	50.73752	4.67701	49.0	3925.0	Pinaceae	5285637	Pinus sylvestris	1	2010	11
2010-11-01	100mE39456N30832	50.73752	4.67701	49.0	4689.0	Fagaceae	5333294	Castanea sativa	1	2010	11
2010-11-01	100mE39486N30216	50.18788	4.78183	15.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	1	2010	11
2010-11-01	100mE39486N30216	50.18788	4.78183	15.0	3925.0	Pinaceae	5284884	Picea abies	2	2010	11
2010-11-01	100mE39490N31412	51.25981	4.66664	10.0	2497.0	Lamiaceae	2927324	Lamium galeobdolon	1	2010	11
2010-11-01	100mE39493N31376	51.22811	4.67461	10.0	3065.0	Asteraceae	9202318	Symphyotrichum lanceolatum	1	2010	11
2010-11-01	100mE39524N30990	50.88428	4.75833	10.0	2420.0	Plantaginaceae	3172077	Veronica persica	1	2010	11
2010-11-01	100mE39551N31082	50.96805	4.78692	10.0	3065.0	Asteraceae	3120790	Artemisia verlotiorum	1	2010	11
2010-11-01	100mE39587N30280	50.25187	4.91721	49.0	2390.0	Scrophulariaceae	3173338	Buddleja davidii	1	2010	11
2010-11-01	100mE39587N30280	50.25187	4.91721	49.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE39588N30280	50.25187	4.91721	49.0	3065.0	Asteraceae	3109086	Senecio inaequidens	1	2010	11
2010-11-01	100mE39698N31112	51.0047	4.99264	10.0	6664.0	Salicaceae	5582033	Salix udensis	1	2010	11
2010-11-01	100mE39845N31300	51.18192	5.18444	10.0	5015.0	Rosaceae	3021850	Prunus serotina	1	2010	11
2010-11-01	100mE39845N31300	51.18197	5.18433	10.0	8800.0	Araliaceae	3036892	Aralia elata	1	2010	11
2010-11-01	100mE39845N31300	51.18197	5.18433	10.0	8800.0	Araliaceae	8168344	Hedera hibernica	1	2010	11
2010-11-01	100mE39846N31436	51.30407	5.17229	10.0	3073.0	Poaceae	2705401	Eragrostis multicaulis	1	2010	11
2010-11-01	100mE39846N31436	51.30407	5.17229	10.0	3065.0	Asteraceae	3103791	Matricaria discoidea	1	2010	11
2010-11-01	100mE39847N31301	51.18274	5.18637	10.0	5353.0	Juncaceae	2702084	Juncus tenuis	1	2010	11
2010-11-01	100mE39847N31301	51.18274	5.18637	10.0	2430.0	Onagraceae	9188840	Epilobium ciliatum	1	2010	11
2010-11-01	100mE39847N31302	51.1841	5.18749	10.0	3065.0	Asteraceae	5392083	Bidens connata	1	2010	11
2010-11-01	100mE39848N31432	51.30009	5.17593	10.0	3065.0	Asteraceae	3146683	Erigeron sumatrensis	1	2010	11
2010-11-01	100mE39848N31432	51.30009	5.17593	10.0	3925.0	Pinaceae	5284884	Picea abies	1	2010	11
2010-11-01	100mE39848N31432	51.30009	5.17593	10.0	3065.0	Asteraceae	5392174	Bidens frondosa	1	2010	11
2010-11-01	100mE39849N31303	51.18473	5.18985	10.0	7717.0	Solanaceae	2928751	Datura stramonium	1	2010	11
2010-11-01	100mE39849N31303	51.18472	5.18969	10.0	3065.0	Asteraceae	3146791	Erigeron canadensis	1	2010	11
2010-11-01	100mE39849N31303	51.18472	5.18969	10.0	3073.0	Poaceae	5289684	Setaria viridis	1	2010	11
2010-11-01	100mE39850N31302	51.18409	5.19124	10.0	3073.0	Poaceae	2702808	Echinochloa crus-galli	1	2010	11
2010-11-01	100mE39850N31302	51.18409	5.19124	10.0	3065.0	Asteraceae	5389017	Solidago gigantea	1	2010	11
2010-11-01	100mE39851N31299	51.18154	5.19225	10.0	3065.0	Asteraceae	3146791	Erigeron canadensis	1	2010	11
2010-11-01	100mE39851N31300	51.18192	5.19286	10.0	3925.0	Pinaceae	5285637	Pinus sylvestris	1	2010	11
2010-11-01	100mE39851N31300	51.18166	5.1924	10.0	6710.0	Caprifoliaceae	5598915	Lonicera pileata	1	2010	11
2010-11-01	100mE39851N31300	51.1822	5.19316	10.0	4898338.0	Montiaceae	7736011	Claytonia perfoliata	1	2010	11
2010-11-01	100mE39851N31300	51.1819	5.19308	10.0	3065.0	Asteraceae	9202318	Symphyotrichum lanceolatum	1	2010	11
2010-11-01	100mE39851N31301	51.18334	5.19345	10.0	5386.0	Fabaceae	2971095	Melilotus albus	1	2010	11
2010-11-01	100mE39851N31301	51.18278	5.19328	10.0	2430.0	Onagraceae	8994150	Oenothera parviflora	1	2010	11
2010-11-01	100mE39851N31303	51.18453	5.19285	10.0	3065.0	Asteraceae	5392174	Bidens frondosa	1	2010	11
2010-11-01	100mE39852N31433	51.3019	5.18181	10.0	3065.0	Asteraceae	8002952	Ambrosia artemisiifolia	1	2010	11
2010-11-01	100mE39852N31433	51.30174	5.1819	10.0	2430.0	Onagraceae	9188840	Epilobium ciliatum	1	2010	11
2010-11-01	100mE39852N31434	51.30184	5.18173	10.0	3925.0	Pinaceae	2687182	Tsuga canadensis	1	2010	11
2010-11-01	100mE39852N31434	51.3019	5.18181	10.0	5353.0	Juncaceae	2702084	Juncus tenuis	1	2010	11
2010-11-01	100mE39852N31434	51.3019	5.18181	10.0	3073.0	Poaceae	2702808	Echinochloa crus-galli	1	2010	11
2010-11-01	100mE39852N31434	51.3019	5.18181	10.0	6699.0	Balsaminaceae	2891782	Impatiens parviflora	1	2010	11
2010-11-01	100mE39852N31434	51.3019	5.18181	10.0	2497.0	Lamiaceae	2927324	Lamium galeobdolon	1	2010	11
2010-11-01	100mE39852N31434	51.3019	5.1819	10.0	3065.0	Asteraceae	3138949	Melampodium divaricatum	1	2010	11
2010-11-01	100mE39854N31434	51.3024	5.18429	10.0	3925.0	Pinaceae	2685796	Pseudotsuga menziesii	1	2010	11
2010-11-01	100mE39854N31434	51.3025	5.18452	10.0	4689.0	Fagaceae	2880539	Quercus rubra	1	2010	11
2010-11-01	100mE39854N31434	51.30272	5.18485	10.0	3112.0	Brassicaceae	3053522	Berteroa incana	1	2010	11
2010-11-01	100mE39854N31434	51.30246	5.18443	10.0	6657.0	Sapindaceae	3189837	Acer saccharinum	1	2010	11
2010-11-01	100mE39854N31435	51.30337	5.18401	10.0	6652.0	Oleaceae	3172291	Ligustrum ovalifolium	1	2010	11
2010-11-01	100mE39855N31435	51.30307	5.18602	10.0	5015.0	Rosaceae	3021850	Prunus serotina	1	2010	11
2010-11-01	100mE39855N31435	51.30307	5.18602	10.0	3065.0	Asteraceae	3109086	Senecio inaequidens	1	2010	11
2010-11-01	100mE39855N31435	51.30307	5.18602	10.0	3065.0	Asteraceae	3132570	Galinsoga parviflora	1	2010	11
2010-11-01	100mE39855N31435	51.30307	5.18602	10.0	3065.0	Asteraceae	3146791	Erigeron canadensis	1	2010	11
2010-11-01	100mE39855N31435	51.303	5.18548	10.0	3925.0	Pinaceae	5285637	Pinus sylvestris	1	2010	11
2010-11-01	100mE39855N31435	51.30307	5.18602	10.0	4689.0	Fagaceae	5333294	Castanea sativa	1	2010	11
2010-11-01	100mE39855N31435	51.30307	5.18602	10.0	3064.0	Amaranthaceae	5384361	Amaranthus bouchonii	1	2010	11
2010-11-01	100mE39855N31435	51.30307	5.18602	10.0	3064.0	Amaranthaceae	5384364	Amaranthus hybridus	1	2010	11
2010-11-01	100mE39855N31435	51.30302	5.18576	10.0	3065.0	Asteraceae	8298495	Galinsoga quadriradiata	1	2010	11
2010-11-01	100mE39865N31293	51.17689	5.21413	10.0	5015.0	Rosaceae	3003979	Rosa rugosa	1	2010	11
2010-11-01	100mE39866N31293	51.17675	5.21471	10.0	6673.0	Berberidaceae	3033865	Mahonia aquifolium	1	2010	11
2010-11-01	100mE39866N31293	51.17677	5.21456	10.0	6673.0	Berberidaceae	3033896	Berberis thunbergii	1	2010	11
2010-11-01	100mE39866N31293	51.17693	5.2146	10.0	5386.0	Fabaceae	5356517	Lathyrus latifolius	1	2010	11
2010-11-01	100mE39866N31294	51.1776	5.21462	10.0	3073.0	Poaceae	2702808	Echinochloa crus-galli	1	2010	11
2010-11-01	100mE39866N31294	51.1776	5.21462	10.0	5386.0	Fabaceae	2971095	Melilotus albus	1	2010	11
2010-11-01	100mE39866N31294	51.1776	5.21462	10.0	5015.0	Rosaceae	3021850	Prunus serotina	1	2010	11
2010-11-01	100mE39866N31294	51.17754	5.21427	10.0	3112.0	Brassicaceae	3053522	Berteroa incana	1	2010	11
2010-11-01	100mE39866N31294	51.1776	5.21462	10.0	3065.0	Asteraceae	3109086	Senecio inaequidens	1	2010	11
2010-11-01	100mE39866N31294	51.1776	5.21462	10.0	3065.0	Asteraceae	3146791	Erigeron canadensis	1	2010	11
2010-11-01	100mE39866N31294	51.17745	5.21498	10.0	2398.0	Anacardiaceae	3190538	Rhus typhina	1	2010	11
2010-11-01	100mE39866N31294	51.17741	5.21551	10.0	3073.0	Poaceae	5289684	Setaria viridis	1	2010	11
2010-11-01	100mE39866N31294	51.17745	5.21498	10.0	6652.0	Oleaceae	5415039	Syringa vulgaris	1	2010	11
2010-11-01	100mE39872N30831	50.76254	5.26587	10.0	6710.0	Caprifoliaceae	8012439	Symphoricarpos albus	1	2010	11
2010-11-01	100mE39872N31293	51.17748	5.22391	10.0	3073.0	Poaceae	2705090	Panicum miliaceum	1	2010	11
2010-11-01	100mE39872N31294	51.17776	5.22352	10.0	8144.0	Cupressaceae	2683866	Chamaecyparis lawsoniana	1	2010	11
2010-11-01	100mE39872N31294	51.17778	5.2235	10.0	2518.0	Caryophyllaceae	3085360	Saponaria officinalis	1	2010	11
2010-11-01	100mE39872N31294	51.17778	5.2235	10.0	3925.0	Pinaceae	5285637	Pinus sylvestris	2	2010	11
